128,1.43E-03
129,1.20E-03
127,1.73E-03
125,1.68E-03
124,1.07E-03
119,1.73E-03
108,1.90E-03
122,1.33E-03
111,1.34E-03
120,4.36E-03
104,2.03E-03
102,1.48E-03
101,2.60E-03
106,2.10E-03
108,1.91E-03
110,1.40E-03
113,1.15E-03
112,2.09E-03
105,2.35E-03
123,1.76E-03
126,1.63E-03
134,1.19E-03
201,1.61E-03
202,1.96E-03
204,1.24E-03
206,1.65E-03
208,1.24E-03
210,1.01E-03
211,1.01E-03
212,1.28E-03
216,2.14E-03
228,1.68E-03
230,1.98E-03
231,1.08E-03
232,1.70E-03
234,1.63E-03
236,1.46E-03
223,9.10E-04
301,1.23E-03
302,2.24E-03
303,1.47E-03
304,1.39E-03
306,1.28E-03
308,1.01E-03
309,2.53E-03
313,1.23E-03
314,1.62E-03
315,1.93E-03
316,1.85E-03
318,1.37E-03
321,2.22E-03
326,2.00E-03
327,2.23E-03
333,1.67E-03
336,1.93E-03
338,2.53E-03
344,2.10E-03
349,1.44E-03
352,1.07E-03
356,1.76E-03
359,1.12E-03
360,1.40E-03
375,2.05E-03
381,2.22E-03
387,1.23E-03
396,1.32E-03
398,1.86E-03
399,1.75E-03
3100,1.00E-03
3110,1.76E-03
3116,1.84E-03
3126,9.68E-04
3130,1.72E-03
3132,1.90E-03
3133,2.99E-03
3137,2.77E-03
3141,1.59E-03
3145,2.37E-03
3161,9.38E-03
3166,1.21E-03
3169,2.19E-03
3171,1.92E-03
3185,1.13E-03
3187,1.95E-03
3195,2.02E-03
401,3.11E-03
404,1.66E-03
405,1.55E-03
406,2.01E-03
408,1.68E-03
411,1.48E-03
415,1.45E-03
417,2.87E-03
419,4.10E-03
420,2.58E-03
422,1.79E-03
424,2.21E-03
425,1.55E-03
428,1.55E-03
429,3.60E-03
430,1.56E-03
433,1.59E-03
434,1.58E-03
439,1.85E-03
440,1.01E-03
441,2.11E-03
442,1.75E-03
443,1.57E-03
444,1.34E-08
445,1.60E-03
450,2.25E-03
508,2.80E-03
513,1.66E-03
524,1.83E-03
527,2.31E-03
531,1.40E-03
555,1.38E-03
556,1.45E-03
557,1.43E-03
561,1.78E-03
565,2.01E-03
567,2.01E-03
571,1.21E-03
572,1.82E-03
573,1.89E-03
575,1.85E-01
577,1.02E-03
578,1.75E-03
581,1.76E-03
587,1.94E-03
590,1.40E-03
593,9.61E-04
